date,sessions_total,sessions_google_ads,sessions_meta_ads,sessions_tiktok_ads,sessions_email,sessions_organic,sessions_affiliates,conversion_rate,orders,aov_gbp,gross_sales_gbp,discounts_gbp,refunds_gbp,transaction_fees_gbp,marketing_spend_google_gbp,marketing_spend_meta_gbp,marketing_spend_tiktok_gbp,marketing_spend_other_gbp,marketing_spend_total_gbp,net_sales_gbp,contrib_after_fees_gbp,mer,roas_google,roas_meta,roas_tiktok,new_customers,returning_customers,subs_active,mrr_gbp,google_impressions,google_clicks,google_ctr,google_cpc_gbp,google_cpm_gbp,meta_impressions,meta_clicks,meta_ctr,meta_cpc_gbp,meta_cpm_gbp,tiktok_impressions,tiktok_clicks,tiktok_ctr,tiktok_cpc_gbp,tiktok_cpm_gbp,email_sends,email_open_rate,email_click_rate,region_uk_pct,region_us_pct,region_eu_pct,revenue_google,revenue_meta,revenue_tiktok,revenue_other,orders_google,orders_meta,orders_tiktok,orders_other,conversion_rate_google,conversion_rate_meta,conversion_rate_tiktok,conversion_rate_other,cpa_google,cpa_meta,cpa_tiktok,cpa_other
01/02/2025,45659,16196,10592,2890,6193,7656,2132,2.8,1279,55.84,71419.36,9132.41,1044.06,3062.14,10398.9,8420.47,3517.82,4103.88,26441.07,61242.89,58180.75,2.7,6.87,8.48,20.3,652,627,863,10356,241666,9171,3.79,1.13,43.03,448936,7256,1.62,1.16,18.76,67314,1450,2.15,2.43,52.26,8046,31.2,1.99,34.36,28.59,37.05,71444.73,71379.10,71416.10,719.06,588.93,588.54,588.72,71.90,3.64,5.56,27.07,2.76,17.66,14.30,16.27,97.58
01/03/2025,50892,19892,10840,3489,6034,9690,947,2.75,1400,56.41,78974,10639.11,1732.63,3330.11,11713.11,7640.7,3999.86,2957.66,26311.33,66602.26,63272.15,3,6.74,10.34,19.74,691,709,892,10704,298900,11407,3.82,1.03,39.19,264805,6870,2.59,1.11,28.85,62281,2006,3.22,1.99,64.22,7281,25.82,3.93,43.18,34.66,22.15,78966.89,79019.94,78990.38,489.56,681.73,681.96,681.87,48.96,3.43,6.29,49.92,1.02,17.18,11.21,9.71,101.81
01/04/2025,32771,10547,7471,2010,4380,5914,2449,2.08,683,56.48,38575.84,2247.51,702.49,1781.29,4810.04,3267.74,1324.73,1467.78,10870.29,35625.84,33844.55,3.55,8.02,11.81,29.12,385,298,889,10668,193751,6639,3.43,0.72,24.83,203235,5225,2.57,0.63,16.08,70019,1198,1.71,1.11,18.92,4514,38.07,2.95,47.28,29.85,22.87,38577.76,38597.16,38576.56,257.26,318.00,318.06,318.00,25.73,3.02,4.26,15.83,1.08,15.13,10.28,8.33,98.61
01/05/2025,39992,12868,8370,2816,4491,7664,3783,2.61,1045,55.74,58248.3,2588.03,1046.83,2730.67,7754.33,6316.03,2229.36,158.26,16457.98,54613.44,51882.77,3.54,7.51,9.22,26.13,579,466,902,10824,240168,7281,3.03,1.07,32.29,313436,5096,1.63,1.24,20.15,66373,2004,3.02,1.11,33.59,4787,32.96,4.89,42.02,28.86,29.12,58226.00,58228.60,58235.78,280.17,491.26,491.28,491.31,28.01,3.82,5.87,36.83,1.12,15.79,12.86,8.06,101.79
01/06/2025,41625,15615,8577,2943,5250,7611,1629,2.42,1006,54.06,54384.36,2859.79,1157.1,2518.37,7854.15,6080.51,2428.29,1673.22,18036.17,50367.47,47849.1,3.02,6.92,8.94,22.4,519,487,900,10800,337114,11375,3.37,0.69,23.3,441713,5682,1.29,1.07,13.77,103076,1448,1.4,1.68,23.56,5796,37.9,2.65,44.75,38.02,17.23,54349.16,54371.11,54396.29,294.03,399.09,399.13,399.18,29.41,2.56,4.65,25.50,1.38,19.68,15.24,13.11,101.35
01/07/2025,40084,14264,8108,2575,4867,6799,3471,2.54,1017,55.32,56260.44,2594.07,1348.23,2615.91,7089.46,6425.16,2235.31,4017.03,19766.96,52318.14,49702.23,2.85,7.94,8.76,25.17,533,484,891,10692,340315,9758,2.87,0.73,20.83,171836,4102,2.39,1.57,37.39,69340,1173,1.69,1.91,32.24,4931,28.87,4.31,48.45,39.21,12.34,56297.46,56280.26,56264.46,704.90,446.71,446.63,446.58,70.49,3.13,5.51,27.33,1.78,15.87,14.39,8.91,99.04
01/08/2025,40260,14980,8748,2680,4584,7072,2196,2.3,924,59.42,54904.08,4123.84,1229.93,2477.52,6143.57,5466.7,1745.77,2066.71,15422.75,49550.31,47072.79,3.56,8.94,10.04,31.45,466,458,878,10536,299571,7995,2.67,0.77,20.51,272690,4430,1.62,1.23,20.05,123072,1473,1.2,1.19,14.18,4663,37.2,3.7,47.42,32.67,19.92,54925.51,54894.89,54892.97,361.52,393.36,393.27,393.26,36.15,2.63,4.50,16.45,1.65,15.61,13.90,9.93,99.16
01/09/2025,40174,14945,8440,2801,3927,7731,2330,2.44,981,57.24,56152.44,4426.4,1095.68,2531.52,7356.32,5715.01,2670.74,2362.67,18104.74,50630.36,48098.84,3.1,7.63,9.83,21.03,472,509,870,10440,280125,7099,2.53,1.04,26.26,150645,4010,2.66,1.43,37.94,64442,1997,3.1,1.34,41.44,3893,25.48,3.51,46.75,33.71,19.53,56144.19,56170.03,56158.98,414.51,413.53,413.65,413.59,41.45,2.77,4.90,20.05,1.77,17.79,13.82,10.96,99.95
01/10/2025,36940,13373,7651,2519,4927,6188,2282,1.94,717,56.34,40395.78,2701.62,587.94,1855.31,5253.58,3404.61,1699.16,1029.33,11386.68,37106.22,35250.91,3.55,7.69,11.87,23.77,389,328,862,10344,377376,9617,2.55,0.55,13.92,294847,5440,1.85,0.63,11.55,41206,1315,3.19,1.29,41.24,4863,30.2,4.2,49.57,33.49,16.94,40399.79,40404.08,40389.61,180.61,298.48,298.49,298.45,18.06,2.23,3.90,11.84,1.35,17.60,11.40,14.26,98.38
01/11/2025,38981,14701,7371,3025,4299,6853,2732,2.65,1033,54.82,56629.06,3697.33,1076.87,2592.74,9276.92,8144.25,2715.58,1352.15,21488.9,51854.86,49262.12,2.64,6.1,6.95,20.85,517,516,879,10548,256391,9931,3.87,0.93,36.18,226169,4444,1.96,1.83,36.01,72031,1510,2.1,1.8,37.7,4165,28.76,3.36,51.54,33.65,14.81,56579.61,56608.43,56619.72,236.59,464.71,464.84,464.90,23.66,3.16,6.31,17.03,0.97,19.96,17.52,11.66,99.39
01/12/2025,45993,16947,9329,3405,5147,8527,2638,2.54,1166,57.21,66706.86,4256.5,1363.2,3054.36,8430.93,7723.99,3478.39,1250.57,20883.88,61087.16,58032.8,3.19,7.91,8.64,19.18,565,601,906,10872,281451,9449,3.36,0.89,29.96,305654,4562,1.49,1.69,25.27,121970,2263,1.86,1.54,28.52,6415,26,4.95,44.41,33.79,21.8,66679.30,66725.99,66697.80,219.03,524.72,524.88,524.77,21.90,3.10,5.63,20.47,1.09,16.06,14.72,11.51,99.64
